600 4599
283 238 77
364 403 59
439 276 29
19 273 63
449 171 90
316 290 82
224 480 68
391 251 14
394 184 1
67 155 97
395 588 32
496 474 72
312 68 50
435 294 86
206 23 21
381 365 22
151 373 85
570 562 86
565 292 4
545 556 74
269 382 91
148 27 1
482 579 85
507 471 53
141 127 38
272 324 35
45 459 86
566 216 61
462 302 42
597 170 13
559 511 19
0 278 12
150 285 99
44 261 20
40 575 44
550 383 95
496 269 61
460 529 64
563 65 29
319 581 11
319 412 6
150 359 68
599 533 81
310 450 33
578 405 57
540 511 70
484 566 8
468 517 64
330 166 83
141 51 18
522 255 62
599 315 10
117 489 40
577 189 80
297 82 25
166 27 25
565 577 84
541 301 10
242 532 73
40 201 5
539 564 89
449 447 99
416 33 42
361 322 50
584 98 90
116 277 65
335 549 51
193 91 16
385 226 49
444 482 98
385 267 9
391 340 12
92 575 19
282 285 52
115 340 63
103 304 17
375 517 43
9 295 44
43 329 92
33 161 72
245 226 44
474 484 67
249 482 88
133 85 9
285 510 11
526 98 29
28 300 85
381 548 77
370 226 46
370 400 79
301 564 81
519 277 41
177 332 55
336 158 31
74 581 44
43 310 67
500 464 3
587 349 53
316 203 63
268 464 63
11 81 98
131 183 17
133 301 28
500 403 45
3 219 19
181 574 21
49 96 70
86 11 96
40 503 35
86 174 78
502 38 80
491 482 2
581 560 16
437 14 38
555 375 11
530 82 48
373 412 84
341 283 11
241 386 45
438 111 93
434 253 59
363 356 54
463 474 70
470 128 41
110 219 77
482 322 65
268 99 42
97 428 37
117 48 2
37 435 8
206 198 12
596 446 18
469 170 30
468 502 95
440 275 5
436 85 42
587 144 21
189 155 5
48 104 66
120 527 14
58 213 3
507 91 79
419 460 69
326 0 22
156 566 84
166 476 48
523 545 31
46 76 46
28 177 53
264 301 69
166 245 8
499 269 31
45 0 76
177 275 15
549 76 80
434 264 99
236 509 83
317 196 85
242 346 74
457 231 32
215 371 44
597 556 77
78 77 19
540 58 27
112 325 28
103 126 38
373 588 40
26 248 96
132 376 49
464 544 33
69 329 67
59 225 35
482 505 20
116 280 100
266 238 81
96 547 23
44 410 38
526 141 64
8 147 11
192 168 43
205 582 90
491 379 44
457 412 49
112 114 87
311 28 79
437 477 6
6 399 5
27 446 59
96 299 90
26 256 92
320 376 15
180 414 40
576 228 35
124 196 55
401 168 29
244 415 69
212 292 47
548 6 50
215 22 27
473 594 5
409 328 12
89 344 80
162 209 16
64 29 18
360 30 65
486 249 29
32 330 1
457 409 80
546 580 21
534 4 99
78 542 100
298 382 84
58 241 78
389 308 69
348 412 56
182 432 26
278 5 10
375 507 87
585 26 25
529 59 22
407 246 87
22 382 46
76 101 71
445 298 28
426 159 87
431 194 52
29 69 40
450 92 34
147 333 50
210 185 81
586 23 7
132 131 59
115 485 9
581 171 61
61 470 87
156 281 87
268 491 27
232 356 15
84 145 69
448 31 5
168 234 12
316 2 95
136 483 5
531 158 82
328 356 66
599 150 99
201 441 13
191 55 65
272 111 91
512 166 66
431 465 88
112 489 3
386 113 96
228 4 99
74 35 13
465 44 84
347 402 22
349 3 76
231 23 59
240 362 1
242 488 89
387 517 91
451 203 35
544 313 26
141 403 39
26 64 37
34 556 78
402 467 55
276 49 19
390 450 73
395 515 65
302 148 88
82 218 35
594 175 34
88 390 10
480 292 49
352 588 48
358 452 34
430 592 8
562 314 15
458 292 30
392 364 4
503 47 19
374 461 24
362 339 12
294 443 30
122 240 77
375 271 99
311 31 48
413 79 51
49 557 49
209 571 99
468 306 12
265 563 69
45 266 29
39 566 59
350 362 76
305 196 18
434 393 99
187 93 69
154 248 61
135 166 30
349 523 78
399 465 60
108 137 100
33 168 50
20 466 14
102 129 12
147 323 83
134 264 57
393 460 16
42 448 98
591 158 24
85 33 68
142 59 39
587 472 87
336 291 26
410 26 25
131 231 60
582 428 87
548 229 87
58 580 95
182 140 30
186 108 72
49 46 25
234 256 53
162 404 18
60 16 78
463 395 24
341 497 2
229 475 68
71 590 45
366 330 80
227 167 74
364 55 100
190 14 80
517 56 11
314 207 81
182 192 59
521 566 14
434 171 85
251 40 31
394 560 29
533 93 44
355 245 52
175 463 53
162 288 79
257 309 41
63 247 84
464 237 86
213 108 76
181 210 87
466 287 82
127 498 19
18 473 36
587 245 25
362 13 90
465 246 35
272 175 36
66 369 90
349 438 5
372 452 94
362 266 97
402 282 10
157 542 35
498 78 70
544 510 67
490 83 92
427 598 42
15 365 79
32 367 11
39 358 54
196 86 51
378 590 41
477 311 4
136 377 59
318 63 68
45 417 12
368 96 65
257 77 91
198 325 45
461 193 1
75 522 13
500 598 77
123 558 88
580 435 39
532 318 91
575 210 37
507 272 83
145 242 41
510 203 7
0 47 76
494 250 56
269 188 5
550 20 91
255 89 29
547 12 11
486 42 81
361 458 68
223 117 75
571 32 17
557 252 71
160 228 3
87 304 49
252 500 91
445 307 25
218 70 84
416 259 54
449 299 8
177 509 39
36 201 34
384 71 15
217 115 61
534 136 18
562 591 28
580 198 68
179 295 98
570 532 91
214 593 33
301 273 33
260 501 45
24 39 16
16 266 33
106 388 87
1 269 39
266 337 49
178 487 90
505 120 2
351 249 7
408 510 7
394 66 9
18 284 24
235 503 64
344 351 73
107 397 91
85 433 21
125 392 65
564 550 98
468 396 27
276 233 16
422 567 23
463 520 59
358 384 59
529 179 7
409 143 62
9 124 97
288 254 49
299 453 58
567 519 45
63 582 11
516 11 65
168 578 2
23 277 72
183 126 79
481 480 79
547 286 69
507 514 71
480 291 50
41 0 92
593 228 67
466 200 24
226 424 14
9 554 92
105 571 44
592 223 35
311 129 99
553 421 53
185 569 25
434 61 3
494 95 53
52 405 7
556 25 97
19 308 22
297 474 8
65 543 66
443 568 90
467 178 87
30 402 84
236 202 23
586 222 21
138 285 60
521 398 40
53 538 42
506 303 58
156 572 86
